LLDT	((:reg 2))	x86-lldt
LGDT	((:reg 2) (:mod :mem))	x86-lgdt
LIDT	((:reg 3) (:mod :mem))	x86-lidt
SYSCALL	x86-syscall-both-views
SYSRET	x86-sysret
VMOVUPD	x86-movups/movupd/movdqu-op/en-rm
VMOVSD	x86-movss/movsd-op/en-rm -- 
VMOVSS	x86-movss/movsd-op/en-rm -- 
VMOVUPS	x86-movups/movupd/movdqu-op/en-rm
VMOVUPD	x86-movups/movupd/movdqu-op/en-mr
VMOVSD	x86-movss/movsd-op/en-mr -- 
VMOVSS	x86-movss/movsd-op/en-mr -- 
VMOVUPS	x86-movups/movupd/movdqu-op/en-mr
VMOVLPD	x86-movlps/movlpd-op/en-rm
VMOVDDUP	x86-movlps/movlpd-op/en-rm
VMOVSLDUP	x86-movlps/movlpd-op/en-rm
VMOVLPS/VMOVHLPS	x86-movlps/movlpd-op/en-rm
VMOVLPD	x86-movlps/movlpd-op/en-mr
VMOVLPS	x86-movlps/movlpd-op/en-mr
VUNPCKLPD	x86-unpck?pd-op/en-rm -- 
VUNPCKLPS	x86-unpck?ps-op/en-rm -- 
VUNPCKHPD	x86-unpck?pd-op/en-rm -- 
VUNPCKHPS	x86-unpck?ps-op/en-rm -- 
VMOVHPD	x86-movhps/movhpd-op/en-rm
VMOVHPS/VMOVLHPS	x86-movhps/movhpd-op/en-rm
VMOVHPD	x86-movhps/movhpd-op/en-mr
VMOVHPS	x86-movhps/movhpd-op/en-mr
NOP	x86-two-byte-nop
MOV	x86-mov-control-regs-op/en-mr
VMOVAPD	x86-movaps/movapd-op/en-rm
VMOVAPS	x86-movaps/movapd-op/en-rm
VMOVAPD	x86-movaps/movapd-op/en-mr
VMOVAPS	x86-movaps/movapd-op/en-mr
VCVTSI2SD	x86-cvtsi2s?-op/en-rm -- 
VCVTSI2SS	x86-cvtsi2s?-op/en-rm -- 
VCVTTSD2SI	x86-cvts?2si/cvtts?2si-op/en-rm -- 
VCVTTSS2SI	x86-cvts?2si/cvtts?2si-op/en-rm -- 
VCVTSD2SI	x86-cvts?2si/cvtts?2si-op/en-rm -- 
VCVTSS2SI	x86-cvts?2si/cvtts?2si-op/en-rm -- 
VUCOMISD	x86-comis?/ucomis?-op/en-rm -- 
VUCOMISS	x86-comis?/ucomis?-op/en-rm -- 
VCOMISD	x86-comis?/ucomis?-op/en-rm -- 
VCOMISS	x86-comis?/ucomis?-op/en-rm -- 
CMOVO	x86-cmovcc
CMOVNO	x86-cmovcc
CMOVB/C/NAE	x86-cmovcc
CMOVAE/NB/NC	x86-cmovcc
CMOVE/Z	x86-cmovcc
CMOVNE/NZ	x86-cmovcc
CMOVBE/NA	x86-cmovcc
CMOVA/NBE	x86-cmovcc
CMOVS	x86-cmovcc
CMOVNS	x86-cmovcc
CMOVP/PE	x86-cmovcc
CMOVNP/PO	x86-cmovcc
CMOVL/NGE	x86-cmovcc
CMOVNL/GE	x86-cmovcc
CMOVLE/NG	x86-cmovcc
CMOVNLE/G	x86-cmovcc
VSQRTPD	x86-sqrtpd-op/en-rm
VSQRTSD	x86-sqrts?-op/en-rm -- 
VSQRTSS	x86-sqrts?-op/en-rm -- 
VSQRTPS	x86-sqrtps-op/en-rm
VANDPD	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VANDPS	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VANDNPD	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VANDNPS	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VORPD	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VORPS	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VXORPD	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VXORPS	x86-andp?/andnp?/orp?/xorp?/pand/pandn/por/pxor-op/en-rm -- 
VADDPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VADDSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VADDSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VADDPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VMULPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VMULSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMULSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMULPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VCVTPD2PS	x86-cvtpd2ps-op/en-rm
VCVTSD2SS	x86-cvts?2s?-op/en-rm -- 
VCVTSS2SD	x86-cvts?2s?-op/en-rm -- 
VCVTPS2PD	x86-cvtps2pd-op/en-rm
VSUBPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VSUBSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VSUBSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VSUBPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VMINPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VMINSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMINSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMINPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VDIVPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VDIVSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VDIVSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VDIVPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VMAXPD	x86-addpd/subpd/mulpd/divpd/maxpd/minpd-op/en-rm -- 
VMAXSD	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMAXSS	x86-adds?/subs?/muls?/divs?/maxs?/mins?-op/en-rm -- 
VMAXPS	x86-addps/subps/mulps/divps/maxps/minps-op/en-rm -- 
VMOVDQU	x86-movups/movupd/movdqu-op/en-rm
VPCMPEQB	x86-pcmpeqb-op/en-rm
VMOVQU	x86-movups/movupd/movdqu-op/en-mr
JO	x86-two-byte-jcc
JNO	x86-two-byte-jcc
JB/NAE/C	x86-two-byte-jcc
JNB/AE/NC	x86-two-byte-jcc
JZ/E	x86-two-byte-jcc
JNZ/NE	x86-two-byte-jcc
JBE/NA	x86-two-byte-jcc
JNBE/A	x86-two-byte-jcc
JS	x86-two-byte-jcc
JNS	x86-two-byte-jcc
